No,manual-categ,ai-categ,manual-categ-name,sub-categ-anme,email-id,comments
51,Pre-shipment Order Interception,,订单拦截相关,延迟发货,EM2507030101,
52,Pre-shipment Order Interception,,订单拦截相关,延迟发货,EM2506270291,
53,Pre-shipment Order Interception,,订单拦截相关,延迟发货,EM2506190046,
54,Pre-shipment Order Interception,,订单拦截相关,其他,EM2406050432,
55,Pre-shipment Order Interception,,订单拦截相关,其他,EM2505290137,
56,Pre-shipment Order Interception,,订单拦截相关,其他,EM2505280207,
57,Document Processing,,票据处理,,EM2411270026,
58,Document Processing,,票据处理,,EM2502130455,
59,Document Processing,,票据处理,,EM2504210208,
60,Document Processing,,票据处理,,EM2506180197,
61,Document Processing,,票据处理,,EM2502150006,
62,Document Processing,,票据处理,,EM2502210197,
63,Document Processing,,票据处理,,EM2411080081,
64,Document Processing,,票据处理,,EM2408080258,
65,Document Processing,,票据处理,,EM2304020055,
66,Document Processing,,票据处理,,EM2412080056,
67,Document Processing,,票据处理,,EM211211010,
68,Document Processing,,票据处理,,EM2502270222,
69,Document Processing,,票据处理,,EM2412050304,
70,Document Processing,,票据处理,,EM220208012,
71,Document Processing,,票据处理,,EM220310226,
72,Batch/DC Code Inquiry,,批次DC咨询,售前,EM2503260101,
73,Batch/DC Code Inquiry,,批次DC咨询,售前,EM2506240201,
74,Batch/DC Code Inquiry,,批次DC咨询,售前,EM2506300336,
75,Batch/DC Code Inquiry,,批次DC咨询,售前,EM2507020163,
76,Batch/DC Code Inquiry,,批次DC咨询,售后,EM2507010112,
77,Batch/DC Code Inquiry,,批次DC咨询,售后,EM2506280090,
78,Batch/DC Code Inquiry,,批次DC咨询,售中,EM2506200004,
79,Batch/DC Code Inquiry,,批次DC咨询,售中,EM2506200356,
80,Batch/DC Code Inquiry,,批次DC咨询,售中,EM2506250248,
81,Batch/DC Code Inquiry,,批次DC咨询,售前,EM2506250177,
82,Batch/DC Code Inquiry,,批次DC咨询,售前,EM2506230347,
83,Batch/DC Code Inquiry,,批次DC咨询,售前,EM2506190129,
84,Batch/DC Code Inquiry,,批次DC咨询,售前,EM2506190259,
85,Batch/DC Code Inquiry,,批次DC咨询,售前,EM2506190020,
86,Batch/DC Code Inquiry,,批次DC咨询,售中,EM2506050135,
87,Shipped Invoice Processing,,已发货随货发票相关,,EM2506260513,
88,Shipped Invoice Processing,,已发货随货发票相关,,EM2506270002,
89,Shipped Invoice Processing,,已发货随货发票相关,,EM2506180009,
90,Shipped Invoice Processing,,已发货随货发票相关,,EM2506100326,
91,Shipped Invoice Processing,,已发货随货发票相关,,EM2506160152,
92,Shipped Invoice Processing,,已发货随货发票相关,,EM2505190101,
93,Shipped Invoice Processing,,已发货随货发票相关,,EM2505290376,
94,Shipped Invoice Processing,,已发货随货发票相关,,EM220218110,
95,Shipped Invoice Processing,,已发货随货发票相关,,EM2503100359,
96,Shipped Invoice Processing,,已发货随货发票相关,,EM2504280218,
97,Shipped Invoice Processing,,已发货随货发票相关,,EM2506230363,
98,Shipped Invoice Processing,,已发货随货发票相关,,EM2506230366,
99,Shipped Invoice Processing,,已发货随货发票相关,,EM2504290159,
100,Shipped Invoice Processing,,已发货随货发票相关,,EM2506180227,
101,,,干扰邮件（和以上5种场景（物流状态咨询、订单拦截票据处理、批次DC咨询、已发货随货发票相关）无关即可）,账期还款,EM2507020115,
102,,,,广告,EM2507070042,
103,,,,广告,EM2507070058,
104,,,,LCSC下单寄到JLCPCB咨询,EM2507060035,
105,,,,优惠券如何使用咨询,EM2507060073,
106,,,,有sku物料咨询,EM2507060070,
107,,,,优惠券如何使用咨询,EM2507060029,
108,,,,售后错发,EM2507060027,
109,,,,接段挂单,EM2507050046,
110,,,,库存不足挂单,EM2507050073,
111,,,,广告,EM2507060007,
112,,,,广告,EM2507050089,
113,,,,合并pcb发货,EM2507040380,
114,,,,询问物料真假,EM2506260374,
